sender_account,receiver_account,amount,timestamp
ACC1138,ACC2147,1175.77,2026-08-22T11:39:02.929039+00:00
ACC17586,ACC25754,92.68,2026-08-21T10:04:40.805961+00:00
ACC1116,ACC2130,4081.34,2026-08-22T11:08:02.929039+00:00
ACC16316,ACC29921,678.11,2026-08-22T13:19:40.805961+00:00
ACC1127,ACC2148,3126.71,2026-08-21T23:18:02.929039+00:00
ACC_LOOP02,ACC_LOOP03,46081.12,2026-08-23T14:49:02.929039+00:00
ACC_SMURF014,ACC_SHELL01,9829.3,2026-08-22T05:48:47.929039+00:00
ACC1105,ACC2121,235231.36,2026-08-21T18:39:02.929039+00:00
ACC1126,ACC2124,1856.26,2026-08-22T06:57:02.929039+00:00
ACC1122,ACC2143,233.11,2026-08-23T08:53:02.929039+00:00
ACC_SMURF009,ACC_SHELL01,9435.8,2026-08-22T05:15:02.929039+00:00
ACC1102,ACC2109,806.75,2026-08-21T17:15:02.929039+00:00
ACC1144,ACC2146,3995.14,2026-08-22T05:51:02.929039+00:00
ACC19863,ACC25754,1327.35,2026-08-22T13:23:40.805961+00:00
ACC1143,ACC2140,1587.37,2026-08-21T17:31:02.929039+00:00
ACC1140,ACC2101,2086.8,2026-08-21T14:40:02.929039+00:00
ACC1121,ACC2132,98843.88,2026-08-22T13:39:02.929039+00:00
ACC_SMURF018,ACC_SHELL01,9002.11,2026-08-22T05:21:47.929039+00:00
ACC1139,ACC2131,4034.18,2026-08-21T16:45:02.929039+00:00
ACC1130,ACC2148,2026.17,2026-08-23T09:13:02.929039+00:00
ACC1140,ACC2135,1411.23,2026-08-22T15:09:02.929039+00:00
ACC16316,ACC27311,427.04,2026-08-21T06:27:40.805961+00:00
ACC_SMURF004,ACC_SHELL01,9772.44,2026-08-22T05:26:17.929039+00:00
ACC1107,ACC2134,2010.54,2026-08-22T15:53:02.929039+00:00
ACC_SMURF013,ACC_SHELL01,8956.4,2026-08-22T06:03:02.929039+00:00
ACC_SMURF004,ACC_SHELL01,9208.62,2026-08-22T05:56:17.929039+00:00
ACC1138,ACC2102,1216.98,2026-08-23T02:51:02.929039+00:00
ACC1123,ACC2111,783.73,2026-08-23T13:48:02.929039+00:00
ACC_SMURF009,ACC_SHELL01,9824.48,2026-08-22T04:45:02.929039+00:00
ACC1144,ACC2112,2798.41,2026-08-22T18:32:02.929039+00:00
ACC_SMURF010,ACC_SHELL01,9466.11,2026-08-22T04:45:47.929039+00:00
ACC1121,ACC2113,2597.74,2026-08-22T07:57:02.929039+00:00
ACC1100,ACC2143,3355.35,2026-08-22T19:50:02.929039+00:00
ACC_SMURF001,ACC_SHELL01,9296.69,2026-08-22T06:09:02.929039+00:00
ACC1102,ACC2126,1895.85,2026-08-22T19:16:02.929039+00:00
ACC_LOOP03,ACC_LOOP01,43206.96,2026-08-22T18:59:02.929039+00:00
ACC1101,ACC2135,1852.86,2026-08-23T13:47:02.929039+00:00
ACC15543,ACC25200,1740.34,2026-08-21T08:25:40.805961+00:00
ACC_SMURF015,ACC_SHELL01,8922.63,2026-08-22T05:19:32.929039+00:00
ACC1129,ACC2108,1111.59,2026-08-22T23:40:02.929039+00:00
ACC1149,ACC2118,1051.88,2026-08-22T05:33:02.929039+00:00
ACC1149,ACC2134,595.12,2026-08-21T23:09:02.929039+00:00
ACC1104,ACC2149,3920.75,2026-08-22T10:34:02.929039+00:00
ACC_SMURF015,ACC_SHELL01,9775.59,2026-08-22T06:19:32.929039+00:00
ACC_SMURF001,ACC_SHELL01,9803.26,2026-08-22T05:54:02.929039+00:00
ACC1117,ACC2148,2381.72,2026-08-23T10:47:02.929039+00:00
ACC15543,ACC21150,262.67,2026-08-22T12:47:40.805961+00:00
ACC18113,ACC27311,1640.79,2026-08-22T05:35:40.805961+00:00
ACC1138,ACC2147,3356.88,2026-08-21T20:24:02.929039+00:00
ACC14639,ACC25754,1297.28,2026-08-23T03:16:40.805961+00:00
ACC1112,ACC2138,300.06,2026-08-22T12:40:02.929039+00:00
ACC1119,ACC2108,3661.86,2026-08-22T08:24:02.929039+00:00
ACC_SMURF013,ACC_SHELL01,9884.97,2026-08-22T04:48:02.929039+00:00
ACC1130,ACC2102,2589.09,2026-08-23T04:26:02.929039+00:00
ACC1137,ACC2112,1408.53,2026-08-22T05:27:02.929039+00:00
ACC1114,ACC2113,2544.49,2026-08-23T00:55:02.929039+00:00
ACC1126,ACC2119,2904.8,2026-08-23T09:39:02.929039+00:00
ACC16316,ACC21437,145.61,2026-08-20T19:31:40.805961+00:00
ACC18242,ACC21633,936.72,2026-08-22T13:16:40.805961+00:00
ACC1115,ACC2108,790.46,2026-08-22T10:21:02.929039+00:00
ACC1124,ACC2148,4302.97,2026-08-23T04:58:02.929039+00:00
ACC18113,ACC24892,410.11,2026-08-21T20:40:40.805961+00:00
ACC19882,ACC29921,989.88,2026-08-22T20:54:40.805961+00:00
ACC_LOOP03,ACC_LOOP01,46020.12,2026-08-22T10:59:02.929039+00:00
ACC17586,ACC25754,657.51,2026-08-21T21:16:40.805961+00:00
ACC18113,ACC27311,1444.88,2026-08-23T00:51:40.805961+00:00
ACC1139,ACC2121,2827.93,2026-08-22T11:49:02.929039+00:00
ACC1133,ACC2140,77610.38,2026-08-22T20:39:02.929039+00:00
ACC_SMURF005,ACC_SHELL01,8909.52,2026-08-22T06:12:02.929039+00:00
ACC19863,ACC27311,1492.52,2026-08-20T20:54:40.805961+00:00
ACC1148,ACC2138,269.71,2026-08-22T10:57:02.929039+00:00
ACC1122,ACC2113,1904.22,2026-08-23T12:57:02.929039+00:00
ACC1125,ACC2124,1690.6,2026-08-21T16:46:02.929039+00:00
ACC_SMURF010,ACC_SHELL01,9461.53,2026-08-22T05:00:47.929039+00:00
ACC1141,ACC2140,4294.62,2026-08-22T14:02:02.929039+00:00
ACC1114,ACC2141,261.6,2026-08-21T16:51:02.929039+00:00
ACC_LOOP03,ACC_LOOP01,44901.34,2026-08-23T00:59:02.929039+00:00
ACC1144,ACC2115,1867.26,2026-08-21T23:14:02.929039+00:00
ACC1123,ACC2133,900.45,2026-08-22T22:03:02.929039+00:00
ACC1107,ACC2115,1560.68,2026-08-21T18:11:02.929039+00:00
ACC_SMURF013,ACC_SHELL01,9502.19,2026-08-22T05:18:02.929039+00:00
ACC1130,ACC2121,195.06,2026-08-23T12:16:02.929039+00:00
ACC_SMURF013,ACC_SHELL01,9675.22,2026-08-22T05:48:02.929039+00:00
ACC14639,ACC25200,1629.06,2026-08-23T01:03:40.805961+00:00
ACC1149,ACC2147,2337.32,2026-08-21T20:42:02.929039+00:00
ACC14639,ACC21150,67.07,2026-08-22T22:31:40.805961+00:00
ACC1121,ACC2103,2600.33,2026-08-21T19:05:02.929039+00:00
ACC1123,ACC2113,269.53,2026-08-22T15:05:02.929039+00:00
ACC19863,ACC24892,932.29,2026-08-21T09:05:40.805961+00:00
ACC_LOOP03,ACC_LOOP01,46599.24,2026-08-23T12:59:02.929039+00:00
ACC1115,ACC2142,3971.81,2026-08-23T06:16:02.929039+00:00
ACC1101,ACC2142,876.21,2026-08-23T12:59:02.929039+00:00
ACC1105,ACC2123,378.37,2026-08-22T16:29:02.929039+00:00
ACC_SMURF009,ACC_SHELL01,9938.33,2026-08-22T06:00:02.929039+00:00
ACC1120,ACC2146,1940.46,2026-08-22T18:51:02.929039+00:00
ACC16316,ACC21437,348.05,2026-08-22T19:55:40.805961+00:00
ACC1126,ACC2119,3867.76,2026-08-22T13:19:02.929039+00:00
ACC1136,ACC2144,1776.33,2026-08-22T14:36:02.929039+00:00
ACC18242,ACC26484,539.57,2026-08-23T03:17:40.805961+00:00
ACC1109,ACC2120,1912.68,2026-08-22T21:19:02.929039+00:00
ACC16316,ACC25754,378.83,2026-08-22T01:00:40.805961+00:00
ACC_LOOP02,ACC_LOOP03,44901.34,2026-08-23T00:49:02.929039+00:00
ACC16520,ACC24892,812.14,2026-08-21T20:38:40.805961+00:00
ACC1124,ACC2109,1271.96,2026-08-23T04:03:02.929039+00:00
ACC1125,ACC2130,3933.48,2026-08-21T21:41:02.929039+00:00
ACC1133,ACC2134,242637.75,2026-08-22T21:39:02.929039+00:00
ACC_SMURF002,ACC_SHELL01,9592.56,2026-08-22T05:09:47.929039+00:00
ACC1130,ACC2119,1408.41,2026-08-22T15:48:02.929039+00:00
ACC1113,ACC2137,4390.43,2026-08-21T16:31:02.929039+00:00
ACC1143,ACC2122,2597.03,2026-08-22T04:02:02.929039+00:00
ACC_SMURF007,ACC_SHELL01,8928.18,2026-08-22T05:43:32.929039+00:00
ACC1146,ACC2114,34.62,2026-08-23T04:56:02.929039+00:00
ACC_SMURF006,ACC_SHELL01,9459.47,2026-08-22T05:27:47.929039+00:00
ACC1132,ACC2130,3418.04,2026-08-22T14:30:02.929039+00:00
ACC1127,ACC2134,819.37,2026-08-23T04:43:02.929039+00:00
ACC1110,ACC2130,821.29,2026-08-23T11:39:02.929039+00:00
ACC1142,ACC2113,1181.62,2026-08-21T18:26:02.929039+00:00
ACC1115,ACC2136,2340.71,2026-08-21T20:42:02.929039+00:00
ACC1105,ACC2121,2027.66,2026-08-22T22:11:02.929039+00:00
ACC14639,ACC21150,1207.53,2026-08-22T18:45:40.805961+00:00
ACC1101,ACC2131,2931.02,2026-08-22T02:51:02.929039+00:00
ACC1103,ACC2149,1208.98,2026-08-22T18:01:02.929039+00:00
ACC1143,ACC2139,1244.47,2026-08-22T08:53:02.929039+00:00
ACC1122,ACC2123,513.29,2026-08-23T05:35:02.929039+00:00
ACC1122,ACC2122,3273.66,2026-08-22T18:35:02.929039+00:00
ACC1142,ACC2119,3249.25,2026-08-23T09:36:02.929039+00:00
ACC_SMURF014,ACC_SHELL01,9006.11,2026-08-22T05:03:47.929039+00:00
ACC1143,ACC2131,3422.02,2026-08-23T01:20:02.929039+00:00
ACC1108,ACC2104,1724.23,2026-08-21T20:11:02.929039+00:00
ACC_LOOP01,ACC_LOOP02,43206.96,2026-08-22T18:39:02.929039+00:00
ACC1111,ACC2119,2903.26,2026-08-22T12:43:02.929039+00:00
ACC1126,ACC2100,3680.77,2026-08-23T03:09:02.929039+00:00
ACC1136,ACC2130,3689.62,2026-08-22T14:26:02.929039+00:00
ACC1118,ACC2129,352.36,2026-08-23T02:50:02.929039+00:00
ACC_LOOP02,ACC_LOOP03,45779.29,2026-08-23T08:49:02.929039+00:00
ACC1137,ACC2126,76896.96,2026-08-22T08:39:02.929039+00:00
ACC1128,ACC2106,2769.14,2026-08-22T16:13:02.929039+00:00
ACC1142,ACC2103,4142.94,2026-08-22T12:20:02.929039+00:00
ACC1146,ACC2134,663.69,2026-08-22T19:56:02.929039+00:00
ACC1124,ACC2138,4452.98,2026-08-22T23:19:02.929039+00:00
ACC_LOOP02,ACC_LOOP03,44968.95,2026-08-22T12:49:02.929039+00:00
ACC_SMURF011,ACC_SHELL01,9261.84,2026-08-22T05:46:32.929039+00:00
ACC1133,ACC2122,3168.5,2026-08-23T04:53:02.929039+00:00
ACC14639,ACC29921,935.1,2026-08-21T20:45:40.805961+00:00
ACC1138,ACC2135,864.99,2026-08-21T19:17:02.929039+00:00
ACC15543,ACC24892,758.87,2026-08-22T18:58:40.805961+00:00
ACC19882,ACC21437,735.28,2026-08-22T23:06:40.805961+00:00
ACC1106,ACC2116,24.93,2026-08-21T16:29:02.929039+00:00
ACC16316,ACC26484,669.45,2026-08-23T05:13:40.805961+00:00
ACC16520,ACC21437,1305.96,2026-08-22T17:42:40.805961+00:00
ACC_LOOP01,ACC_LOOP02,44506.05,2026-08-22T20:39:02.929039+00:00
ACC18242,ACC21150,680.12,2026-08-21T02:24:40.805961+00:00
ACC1121,ACC2132,1243.51,2026-08-21T20:59:02.929039+00:00
ACC1114,ACC2123,2416.77,2026-08-22T23:53:02.929039+00:00
ACC1136,ACC2134,978.33,2026-08-23T09:53:02.929039+00:00
ACC1108,ACC2142,4280.01,2026-08-21T15:33:02.929039+00:00
ACC1109,ACC2139,1047.51,2026-08-22T17:58:02.929039+00:00
ACC1114,ACC2133,577.01,2026-08-23T04:52:02.929039+00:00
ACC1143,ACC2118,193365.01,2026-08-22T21:39:02.929039+00:00
ACC1100,ACC2144,121618.0,2026-08-21T18:39:02.929039+00:00
ACC1115,ACC2122,1652.44,2026-08-22T03:11:02.929039+00:00
ACC1113,ACC2115,3405.95,2026-08-22T23:33:02.929039+00:00
ACC1111,ACC2112,2940.06,2026-08-22T21:05:02.929039+00:00
ACC1101,ACC2103,3072.97,2026-08-22T03:55:02.929039+00:00
ACC1149,ACC2135,3452.78,2026-08-22T16:42:02.929039+00:00
ACC1139,ACC2142,463.3,2026-08-21T21:02:02.929039+00:00
ACC1141,ACC2109,3662.44,2026-08-23T10:20:02.929039+00:00
ACC1108,ACC2125,996.61,2026-08-22T18:16:02.929039+00:00
ACC_LOOP02,ACC_LOOP03,47642.91,2026-08-22T14:49:02.929039+00:00
ACC1130,ACC2111,3913.05,2026-08-22T05:11:02.929039+00:00
ACC1140,ACC2142,467.57,2026-08-22T23:55:02.929039+00:00
ACC1129,ACC2120,3200.61,2026-08-21T14:41:02.929039+00:00
ACC19882,ACC26484,1385.94,2026-08-23T07:49:40.805961+00:00
ACC1130,ACC2148,1963.54,2026-08-23T06:35:02.929039+00:00
ACC1149,ACC2139,2623.42,2026-08-23T07:49:02.929039+00:00
ACC17586,ACC21633,643.08,2026-08-22T16:45:40.805961+00:00
ACC_SMURF017,ACC_SHELL01,9133.14,2026-08-22T05:36:02.929039+00:00
ACC1102,ACC2100,3551.25,2026-08-22T15:47:02.929039+00:00
ACC1122,ACC2109,262.1,2026-08-23T14:09:02.929039+00:00
ACC1137,ACC2103,154658.43,2026-08-21T17:39:02.929039+00:00
ACC1144,ACC2108,2938.31,2026-08-23T03:45:02.929039+00:00
ACC1141,ACC2122,533.6,2026-08-23T12:37:02.929039+00:00
ACC_SMURF014,ACC_SHELL01,9200.28,2026-08-22T06:03:47.929039+00:00
ACC1136,ACC2112,1093.48,2026-08-22T20:55:02.929039+00:00
ACC1138,ACC2108,1309.96,2026-08-21T17:59:02.929039+00:00
ACC1115,ACC2144,1463.38,2026-08-22T19:29:02.929039+00:00
ACC1124,ACC2131,208.13,2026-08-22T12:12:02.929039+00:00
ACC1125,ACC2126,2326.48,2026-08-22T22:27:02.929039+00:00
ACC1114,ACC2129,1558.74,2026-08-22T02:24:02.929039+00:00
ACC_LOOP03,ACC_LOOP01,47642.91,2026-08-22T14:59:02.929039+00:00
ACC1129,ACC2143,88.66,2026-08-22T09:41:02.929039+00:00
ACC1113,ACC2119,2607.04,2026-08-22T20:40:02.929039+00:00
ACC1134,ACC2103,1966.48,2026-08-22T09:10:02.929039+00:00
ACC19863,ACC25754,1792.97,2026-08-23T02:57:40.805961+00:00
ACC1110,ACC2131,2921.2,2026-08-21T18:02:02.929039+00:00
ACC1105,ACC2147,2495.58,2026-08-22T22:51:02.929039+00:00
ACC1105,ACC2146,3212.39,2026-08-22T03:14:02.929039+00:00
ACC_SMURF008,ACC_SHELL01,9485.22,2026-08-22T05:14:17.929039+00:00
ACC_SMURF015,ACC_SHELL01,9606.96,2026-08-22T06:04:32.929039+00:00
ACC1128,ACC2117,2234.92,2026-08-22T12:24:02.929039+00:00
ACC1149,ACC2118,3817.64,2026-08-23T03:29:02.929039+00:00
ACC1123,ACC2138,3697.48,2026-08-22T05:34:02.929039+00:00
ACC_SMURF011,ACC_SHELL01,9711.86,2026-08-22T04:46:32.929039+00:00
ACC1147,ACC2103,2966.58,2026-08-21T14:58:02.929039+00:00
ACC1137,ACC2133,1730.66,2026-08-22T09:26:02.929039+00:00
ACC1115,ACC2115,124379.02,2026-08-23T05:39:02.929039+00:00
ACC1128,ACC2130,1681.23,2026-08-21T20:52:02.929039+00:00
ACC1129,ACC2113,2062.27,2026-08-22T11:24:02.929039+00:00
ACC1143,ACC2147,2324.14,2026-08-23T00:05:02.929039+00:00
ACC1100,ACC2114,1405.61,2026-08-22T06:54:02.929039+00:00
ACC1144,ACC2113,2477.31,2026-08-21T17:57:02.929039+00:00
ACC1147,ACC2111,4148.58,2026-08-23T13:36:02.929039+00:00
ACC1148,ACC2111,3264.34,2026-08-22T14:58:02.929039+00:00
ACC19863,ACC26484,108.65,2026-08-20T19:51:40.805961+00:00
ACC1140,ACC2137,4264.3,2026-08-22T09:02:02.929039+00:00
ACC1103,ACC2105,774.31,2026-08-21T15:06:02.929039+00:00
ACC1131,ACC2133,159.89,2026-08-22T00:24:02.929039+00:00
ACC1138,ACC2113,4058.73,2026-08-22T09:32:02.929039+00:00
ACC1129,ACC2118,4337.35,2026-08-23T02:56:02.929039+00:00
ACC16520,ACC25754,619.86,2026-08-20T16:14:40.805961+00:00
ACC1105,ACC2101,3578.34,2026-08-22T07:58:02.929039+00:00
ACC1125,ACC2142,2838.06,2026-08-23T09:29:02.929039+00:00
ACC1101,ACC2135,1598.29,2026-08-22T00:08:02.929039+00:00
ACC1108,ACC2128,2320.31,2026-08-22T14:37:02.929039+00:00
ACC_SMURF019,ACC_SHELL01,9604.51,2026-08-22T04:52:32.929039+00:00
ACC1140,ACC2144,331.05,2026-08-23T05:47:02.929039+00:00
ACC1146,ACC2112,2735.22,2026-08-22T10:30:02.929039+00:00
ACC1132,ACC2142,3026.53,2026-08-21T18:04:02.929039+00:00
ACC15543,ACC25754,352.37,2026-08-22T02:35:40.805961+00:00
ACC1147,ACC2120,1422.07,2026-08-23T05:14:02.929039+00:00
ACC_SMURF007,ACC_SHELL01,8955.99,2026-08-22T05:28:32.929039+00:00
ACC1124,ACC2114,904.82,2026-08-21T18:05:02.929039+00:00
ACC1139,ACC2120,387.06,2026-08-23T04:17:02.929039+00:00
ACC1103,ACC2140,1933.44,2026-08-21T15:07:02.929039+00:00
ACC1107,ACC2119,536.28,2026-08-22T07:29:02.929039+00:00
ACC1145,ACC2110,3201.71,2026-08-22T03:32:02.929039+00:00
ACC1116,ACC2126,3475.29,2026-08-23T04:15:02.929039+00:00
ACC1130,ACC2128,1202.76,2026-08-22T10:28:02.929039+00:00
ACC1122,ACC2105,3119.29,2026-08-22T08:04:02.929039+00:00
ACC1123,ACC2134,2389.7,2026-08-22T18:42:02.929039+00:00
ACC1139,ACC2119,127606.92,2026-08-22T08:39:02.929039+00:00
ACC1103,ACC2115,3865.03,2026-08-22T03:46:02.929039+00:00
ACC1128,ACC2111,225.49,2026-08-21T17:37:02.929039+00:00
ACC1101,ACC2145,467.81,2026-08-21T20:23:02.929039+00:00
ACC18113,ACC28160,147.6,2026-08-22T05:04:40.805961+00:00
ACC19863,ACC29921,669.69,2026-08-22T22:40:40.805961+00:00
ACC17586,ACC24892,1352.03,2026-08-22T18:44:40.805961+00:00
ACC1142,ACC2126,3405.55,2026-08-21T23:05:02.929039+00:00
ACC1143,ACC2107,3358.85,2026-08-23T13:02:02.929039+00:00
ACC1123,ACC2106,1488.21,2026-08-22T16:58:02.929039+00:00
ACC1111,ACC2123,3614.02,2026-08-23T08:26:02.929039+00:00
ACC1116,ACC2104,4214.65,2026-08-22T14:24:02.929039+00:00
ACC1111,ACC2128,1559.48,2026-08-22T04:37:02.929039+00:00
ACC16520,ACC21633,1466.2,2026-08-21T09:54:40.805961+00:00
ACC17586,ACC28160,1489.42,2026-08-21T05:49:40.805961+00:00
ACC1116,ACC2103,127657.12,2026-08-22T16:39:02.929039+00:00
ACC14639,ACC25754,729.77,2026-08-22T12:21:40.805961+00:00
ACC1117,ACC2124,1328.19,2026-08-23T02:49:02.929039+00:00
ACC1121,ACC2117,3718.74,2026-08-22T19:00:02.929039+00:00
ACC1134,ACC2123,2698.37,2026-08-23T01:32:02.929039+00:00
ACC1102,ACC2140,4485.74,2026-08-22T01:21:02.929039+00:00
ACC1147,ACC2129,3798.37,2026-08-22T00:22:02.929039+00:00
ACC_SMURF003,ACC_SHELL01,8946.37,2026-08-22T05:25:32.929039+00:00
ACC1113,ACC2121,3363.19,2026-08-21T18:14:02.929039+00:00
ACC14639,ACC26484,965.45,2026-08-22T12:25:40.805961+00:00
ACC1103,ACC2105,3412.5,2026-08-22T13:26:02.929039+00:00
ACC16316,ACC27311,1441.2,2026-08-20T18:43:40.805961+00:00
ACC14639,ACC25200,1453.86,2026-08-20T19:28:40.805961+00:00
ACC_SMURF008,ACC_SHELL01,9022.87,2026-08-22T04:44:17.929039+00:00
ACC1102,ACC2148,3126.36,2026-08-21T16:02:02.929039+00:00
ACC1108,ACC2136,2071.38,2026-08-22T03:20:02.929039+00:00
ACC_SMURF010,ACC_SHELL01,9812.71,2026-08-22T06:00:47.929039+00:00
ACC1148,ACC2105,1736.53,2026-08-22T15:13:02.929039+00:00
ACC1127,ACC2116,1840.94,2026-08-22T12:09:02.929039+00:00
ACC1143,ACC2136,3045.19,2026-08-23T07:34:02.929039+00:00
ACC1140,ACC2124,1884.42,2026-08-23T05:33:02.929039+00:00
ACC1137,ACC2108,3509.71,2026-08-21T19:37:02.929039+00:00
ACC1113,ACC2127,2729.21,2026-08-21T20:13:02.929039+00:00
ACC1122,ACC2138,60324.17,2026-08-22T00:39:02.929039+00:00
ACC1100,ACC2137,435.69,2026-08-23T08:57:02.929039+00:00
ACC14639,ACC26484,1226.25,2026-08-22T15:44:40.805961+00:00
ACC1139,ACC2134,3232.99,2026-08-23T06:00:02.929039+00:00
ACC1140,ACC2136,3492.44,2026-08-23T09:51:02.929039+00:00
ACC1103,ACC2129,2412.82,2026-08-21T17:49:02.929039+00:00
ACC1112,ACC2119,3592.3,2026-08-21T21:03:02.929039+00:00
ACC1149,ACC2126,4247.24,2026-08-22T20:08:02.929039+00:00
ACC15543,ACC28160,1744.5,2026-08-23T00:47:40.805961+00:00
ACC_SMURF015,ACC_SHELL01,9849.58,2026-08-22T05:04:32.929039+00:00
ACC1136,ACC2104,1333.66,2026-08-22T04:40:02.929039+00:00
ACC1133,ACC2143,4455.23,2026-08-21T15:41:02.929039+00:00
ACC16520,ACC21633,480.23,2026-08-22T09:55:40.805961+00:00
ACC1147,ACC2128,3289.09,2026-08-21T17:37:02.929039+00:00
ACC1144,ACC2135,411.99,2026-08-22T00:37:02.929039+00:00
ACC1141,ACC2144,1937.4,2026-08-23T09:16:02.929039+00:00
ACC1138,ACC2128,3010.56,2026-08-22T20:04:02.929039+00:00
ACC1117,ACC2123,3710.94,2026-08-21T15:31:02.929039+00:00
ACC1135,ACC2143,1402.0,2026-08-22T10:04:02.929039+00:00
ACC1128,ACC2127,3306.68,2026-08-21T19:10:02.929039+00:00
ACC1140,ACC2124,2169.51,2026-08-22T08:48:02.929039+00:00
ACC1128,ACC2103,3889.24,2026-08-23T05:49:02.929039+00:00
ACC1143,ACC2135,2051.8,2026-08-23T06:31:02.929039+00:00
ACC_SMURF018,ACC_SHELL01,8950.79,2026-08-22T05:51:47.929039+00:00
ACC1112,ACC2139,358.3,2026-08-22T07:58:02.929039+00:00
ACC_SMURF005,ACC_SHELL01,9498.55,2026-08-22T05:27:02.929039+00:00
ACC1143,ACC2107,577.27,2026-08-21T19:29:02.929039+00:00
ACC_LOOP02,ACC_LOOP03,46020.12,2026-08-22T10:49:02.929039+00:00
ACC1123,ACC2113,1548.73,2026-08-22T21:24:02.929039+00:00
ACC1130,ACC2147,2702.31,2026-08-22T05:41:02.929039+00:00
ACC1103,ACC2135,1129.2,2026-08-22T21:50:02.929039+00:00
ACC1127,ACC2108,827.39,2026-08-21T23:28:02.929039+00:00
ACC1114,ACC2132,839.36,2026-08-21T20:22:02.929039+00:00
ACC1109,ACC2139,3912.4,2026-08-22T05:45:02.929039+00:00
ACC19882,ACC27311,694.97,2026-08-23T00:03:40.805961+00:00
ACC1116,ACC2103,3860.82,2026-08-22T07:47:02.929039+00:00
ACC1142,ACC2111,3985.84,2026-08-21T16:34:02.929039+00:00
ACC1131,ACC2147,2506.94,2026-08-22T17:23:02.929039+00:00
ACC1148,ACC2103,70.94,2026-08-21T20:21:02.929039+00:00
ACC1121,ACC2105,1871.41,2026-08-21T23:24:02.929039+00:00
ACC1138,ACC2137,418.8,2026-08-22T16:53:02.929039+00:00
ACC1149,ACC2142,1532.82,2026-08-21T18:59:02.929039+00:00
ACC_SMURF004,ACC_SHELL01,9572.57,2026-08-22T05:11:17.929039+00:00
ACC1130,ACC2124,1378.49,2026-08-21T18:46:02.929039+00:00
ACC_LOOP01,ACC_LOOP02,47666.07,2026-08-23T10:39:02.929039+00:00
ACC1143,ACC2111,2119.41,2026-08-22T23:12:02.929039+00:00
